Link,Data,Hora,Liga,Rodada,Home,Away,H_gols_ft,A_gols_ft,H_gols_ht,A_gols_ht,H_posse,A_posse,H_xg,A_xg,H_chutes,A_chutes,H_chutes_alvo,A_chutes_alvo,H_escanteios,A_escanteios,H_faltas,A_faltas,H_amarelos,A_amarelos,H_vermelhos,A_vermelhos,H_ataques,A_ataques,H_ataques_perigosos,A_ataques_perigosos,H_defesas_goleiro,A_defesas_goleiro,H_passes,A_passes,H_acerto_passe,A_acerto_passe,H_passes_decisivos,A_passes_decisivos,H_cruzamentos,A_cruzamentos,H_dribles,A_dribles,H1_chutes_alvo,A1_chutes_alvo,H1_ataques,A1_ataques,H1_ataques_perigosos,A1_ataques_perigosos,H2_chutes_alvo,A2_chutes_alvo,H2_ataques,A2_ataques,H2_ataques_perigosos,A2_ataques_perigosos,Odd_h_open,Odd_d_open,Odd_a_open,Odd_h_close,Odd_d_close,Odd_a_close
https://redscores.com/pt-br/match/cruzeiro-athletico-pr/i4xi5#1895582,2026-03-18,19:30,Serie A,Rodada 7,Athletico PR,Cruzeiro,2,1,2,1,48.0,52.0,1.13,0.78,8,11,4,2,4,6,26,18,2,3,0,0,31,17,31,17,1,2,393,426,82.0,84.0,6,6,5,1,3,7,2,1,18,16,18,16,1,1,13,1,13,1,2.7,3.1,2.7,2.2,3.2,3.4
https://redscores.com/pt-br/match/gremio-cruzeiro/7yxi4#1895544,2026-04-18,20:30,Serie A,Rodada 12,Cruzeiro,Grêmio,2,0,2,0,41.0,59.0,2.0,0.72,18,9,6,1,4,1,16,13,4,3,0,0,46,33,46,33,1,4,314,455,86.0,90.0,14,4,4,4,7,8,2,1,27,9,27,9,4,0,19,22,19,22,1.7,3.5,5.0,1.66,3.8,5.25
https://redscores.com/pt-br/match/juventude-cruzeiro/Yxi4#1661191,2025-07-20,16:00,Serie A,Rodada 15,Cruzeiro,Juventude,4,0,4,0,48.0,52.0,3.11,0.35,16,6,7,1,8,3,15,10,1,2,0,0,40,23,40,23,1,3,317,362,85.0,82.0,12,4,2,1,4,7,3,0,14,6,14,6,4,0,26,17,26,17,1.45,4.1,8.0,1.33,4.75,11.0
https://redscores.com/pt-br/match/botafogo-cruzeiro/7Xxi4#1895343,2026-01-29,21:30,Serie A,Rodada 1,Botafogo,Cruzeiro,4,0,4,0,46.0,54.0,0.84,1.79,10,17,5,4,3,7,10,12,1,2,0,0,28,46,28,46,4,1,380,449,87.0,86.0,9,13,4,9,11,10,0,2,14,9,14,9,5,2,14,37,14,37,2.2,3.1,3.5,2.45,3.0,3.2
https://redscores.com/pt-br/match/gremio-cruzeiro/7yxi4#1661172,2025-07-13,20:30,Serie A,Rodada 13,Cruzeiro,Grêmio,4,1,4,1,46.0,54.0,2.37,0.73,17,11,9,2,6,3,14,10,4,2,0,0,14,2,14,2,1,5,361,429,83.0,85.0,14,9,4,7,7,4,6,1,27,5,27,5,3,1,19,14,19,14,1.72,3.75,4.75,1.61,3.7,6.25
https://redscores.com/pt-br/match/cruzeiro-ceara/i4xkIB#1661209,2025-07-27,16:00,Serie A,Rodada 17,Cruzeiro,Ceará,1,2,1,2,64.0,36.0,1.02,0.73,16,9,4,3,10,3,8,11,0,2,0,0,65,17,65,17,1,3,511,289,85.0,79.0,10,7,4,4,9,5,3,2,30,7,30,7,0,1,35,9,35,9,1.5,3.0,1.5,1.48,4.0,7.5
https://redscores.com/pt-br/match/sport-recife-cruzeiro/rtxi4#1661299,2025-10-05,20:30,Serie A,Rodada 27,Cruzeiro,Sport Recife,1,1,1,1,61.0,39.0,1.68,1.43,27,17,7,5,10,3,11,15,1,2,0,0,25,5,25,5,4,6,502,322,89.0,81.0,24,16,8,4,14,6,3,2,37,12,37,12,4,3,46,15,46,15,1.33,4.75,9.5,1.55,3.8,6.5
https://redscores.com/pt-br/match/cruzeiro-fortaleza/i4xl8#1661318,2025-10-18,21:00,Serie A,Rodada 29,Cruzeiro,Fortaleza,1,0,1,0,55.0,45.0,1.1,1.03,10,18,4,4,3,6,13,17,1,5,0,0,50,63,50,63,4,3,466,370,86.0,83.0,6,13,2,9,7,13,1,2,24,24,24,24,3,3,26,35,26,35,1.55,3.9,6.0,1.55,4.5,5.5
https://redscores.com/pt-br/match/cruzeiro-sao-paulo/i4xJ6#1661253,2025-08-30,21:00,Serie A,Rodada 22,Cruzeiro,São Paulo,1,0,1,0,40.0,60.0,0.61,1.03,12,14,7,5,6,9,11,9,2,4,0,0,37,43,37,43,5,6,321,479,79.0,87.0,8,7,2,4,11,13,1,0,13,16,13,16,6,6,24,27,24,27,1.8,3.4,4.5,1.9,3.2,4.75
https://redscores.com/pt-br/match/internacional-cruzeiro/gwxi4#1661244,2025-08-23,18:30,Serie A,Rodada 21,Cruzeiro,Internacional,2,1,2,1,45.0,55.0,0.85,0.25,15,4,7,3,5,1,10,18,1,5,0,1,52,40,52,40,2,5,339,433,81.0,83.0,12,3,4,1,5,4,3,1,4,16,4,16,4,2,48,24,48,24,1.9,3.5,4.0,1.8,3.5,4.75
https://redscores.com/pt-br/match/corinthians-cruzeiro/8cxi4#1661197,2025-07-23,19:30,Serie A,Rodada 16,Corinthians,Cruzeiro,0,0,0,0,47.0,53.0,0.46,0.8,7,14,4,4,4,2,19,17,4,2,0,0,32,27,32,27,4,3,385,430,78.0,81.0,7,9,4,3,4,7,0,1,19,23,19,23,1,3,23,14,23,14,2.5,3.2,2.8,2.7,2.87,3.0
https://redscores.com/pt-br/match/cruzeiro-remo/i4xKdB#1895652,2026-04-25,18:30,Serie A,Rodada 13,Remo,Cruzeiro,0,1,0,1,47.0,53.0,1.46,0.23,14,6,1,6,4,1,15,22,1,3,0,0,74,65,74,65,5,1,321,393,78.0,79.0,12,4,12,1,7,8,0,2,23,27,23,27,1,4,48,38,48,38,3.3,3.5,2.15,2.87,3.3,2.5
https://redscores.com/pt-br/match/cruzeiro-coritiba/i4xbvA#1895628,2026-02-05,21:30,Serie A,Rodada 2,Cruzeiro,Coritiba,1,2,1,2,68.0,32.0,1.01,2.08,19,10,4,2,12,2,9,16,3,2,0,0,67,34,67,34,0,3,554,270,90.0,74.0,16,8,5,2,9,6,3,0,29,20,29,20,1,2,36,14,36,14,1.5,4.0,6.5,1.38,4.33,9.5
https://redscores.com/pt-br/match/cruzeiro-bragantino/i4xadb#1661428,2025-09-21,20:30,Serie A,Rodada 24,Cruzeiro,Bragantino,2,1,2,1,60.0,40.0,0.83,0.74,13,8,3,6,7,4,10,18,6,7,0,0,19,7,19,7,5,1,447,298,87.0,78.0,11,7,3,2,9,8,1,4,24,9,24,9,2,2,34,17,34,17,1.61,3.75,5.5,1.48,4.2,7.5
https://redscores.com/pt-br/match/cruzeiro-santos/i4xm9#1895553,2026-03-22,16:00,Serie A,Rodada 8,Cruzeiro,Santos,0,0,0,0,60.0,40.0,0.86,0.12,8,5,3,1,6,0,19,14,2,4,0,0,41,19,41,19,1,3,481,333,84.0,75.0,6,4,8,1,9,5,1,0,22,7,22,7,2,1,36,12,36,12,1.8,3.5,4.5,1.7,3.6,5.25
https://redscores.com/pt-br/match/cruzeiro-vitoria/i4xm5#1661336,2025-11-01,16:00,Serie A,Rodada 31,Cruzeiro,Vitória,3,1,3,1,46.0,54.0,2.0,0.89,13,10,10,7,5,3,15,11,4,4,0,0,46,38,46,38,6,7,337,395,81.0,84.0,10,7,2,8,3,2,5,7,12,12,12,12,4,0,34,26,34,26,1.4,4.33,8.0,1.38,4.5,9.0
https://redscores.com/pt-br/match/vasco-da-gama-cruzeiro/MFxi4#1661108,2025-04-27,18:30,Serie A,Rodada 6,Cruzeiro,Vasco da Gama,1,0,1,0,43.0,57.0,1.29,0.98,11,15,4,6,4,8,18,12,0,0,0,0,50,51,50,51,5,3,321,424,81.0,85.0,10,9,8,12,8,5,2,5,23,17,23,17,2,1,27,34,27,34,1.75,3.75,4.5,2.2,2.9,3.75
https://redscores.com/pt-br/match/bahia-cruzeiro/KFxi4#1661265,2025-09-15,20:00,Serie A,Rodada 23,Bahia,Cruzeiro,1,2,1,2,62.0,38.0,0.73,0.89,13,10,5,3,6,5,11,12,1,3,0,0,53,14,53,14,1,4,487,294,88.0,79.0,10,7,9,2,17,13,3,0,51,14,51,14,2,3,27,18,27,18,2.1,3.2,3.6,2.87,3.1,2.55
https://redscores.com/pt-br/match/juventude-cruzeiro/Yxi4#1661367,2025-11-20,16:00,Serie A,Rodada 34,Juventude,Cruzeiro,3,3,3,3,36.0,64.0,1.39,1.73,12,17,7,7,3,9,19,13,4,1,0,0,35,57,35,57,5,4,253,449,77.0,86.0,7,12,2,9,5,9,3,1,16,20,16,20,4,5,17,36,17,36,4.5,3.75,1.75,3.7,3.3,2.1
